ticker,sentiment_score,sentiment_label,price_date,close_price,next_day_close,next_day_pct_change,title,source
AAPL,0.23911663216011042,positive,2026-03-31,253.79,255.63,0.725,"Warren Buffett says he sold Apple too soon and would buy more of it, though not in this market",Market Insider
AAPL,0.012936179981634523,neutral,2026-04-28,270.71,270.17,-0.1995,PayPal's new CEO makes Venmo a standalone business unit as potential buyers circle,US Top News and Analysis
AAPL,0.1263888888888889,positive,2026-04-28,270.71,270.17,-0.1995,"Nvidia Could Generate More Cash Than Apple, Microsoft Combined — BofA Says It's Time To Pay Shareholders",Yahoo! Finance: AAPL News
AAPL,-0.04375,neutral,2026-04-28,270.71,270.17,-0.1995,Apple Earnings Put Ternus in Focus,Yahoo! Finance: AAPL News
AAPL,0.09169206643696438,neutral,2026-04-28,270.71,270.17,-0.1995,AAPL's Services Growth Rides on Strong Content & Games: What's Ahead?,Yahoo! Finance: AAPL News
AAPL,0.13119318181818182,positive,2026-04-28,270.71,270.17,-0.1995,Apple's Q2 Earnings: Strong iPhone 17 Shipment to Aid Top-Line Growth,Yahoo! Finance: AAPL News
AAPL,0.08652219873150103,neutral,2026-04-28,270.71,270.17,-0.1995,Ramsey Theory Group CEO Dan Herbatschek Warns Wall Street’s AI Boom Faces an ROI Reckoning as Big Tech Earnings Week Begins,Yahoo! Finance: SHOP News
AAPL,0.13268706226023302,positive,2026-04-28,270.71,270.17,-0.1995,Will Apple Report Blowout Q2 Results as it Navigates a CEO Succession Plan?,Yahoo! Finance: AAPL News
AAPL,0.055730625583566756,neutral,2026-04-28,270.71,270.17,-0.1995,"Apple to report Q2 earnings, first since announcing Ternus as Cook's replacement",Yahoo! Finance: AAPL News
AAPL,0.10436507936507937,positive,2026-04-28,270.71,270.17,-0.1995,Apple loses bid to pause App Store fee changes as case heads to Supreme Court,Yahoo! Finance: AAPL News
AMD,0.0989038342609771,neutral,2026-04-28,323.21,337.11,4.3006,"This Super Semiconductor Stock Is Obliterating Nvidia, AMD, and Broadcom in 2026",Yahoo! Finance: AAPL News
AMD,0.18176020408163265,positive,2026-04-28,323.21,337.11,4.3006,Advanced Micro Devices (AMD): Among the Best Fundamental Stocks to Invest In According to Billionaires,Yahoo! Finance: AMD News
AMD,0.044444444444444446,neutral,2026-04-28,323.21,337.11,4.3006,Susquehanna Raises AMD Price Target to $375: Can the Server CPU Story Keep Powering the Stock?,Yahoo! Finance: AMD News
AMD,0.1433862433862434,positive,2026-04-28,323.21,337.11,4.3006,"Stock Market Today, April 29: Advanced Micro Devices Rises After Analyst Upgrade Points to Data Center GPU Demand Ahead of Earnings",Yahoo! Finance: NVDA News
AMD,-0.10158730158730159,negative,2026-04-28,323.21,337.11,4.3006,"Nvidia, AMD Slip. Why Chip Stocks Are on Edge Ahead of Big Tech Earnings.",Yahoo! Finance: AMD News
AMD,0.10041152263374487,positive,2026-04-28,323.21,337.11,4.3006,AMD moves higher as AI growth expectations build,Yahoo! Finance: AMD News
AMD,0.09346092503987238,neutral,2026-04-28,323.21,337.11,4.3006,AMD Stock Rises After Analyst Hikes Price Target Ahead of Earnings,Yahoo! Finance: AMD News
AMD,-0.006666666666666662,neutral,2026-04-28,323.21,337.11,4.3006,AMD Rises as Susquehanna Lifts Price Target,Yahoo! Finance: AMD News
AMZN,0.07562992562992563,neutral,2026-04-24,263.99,261.12,-1.0872,"Amazon, Meta, Microsoft, Salesforce, and Stripe Join the Universal Commerce Protocol Tech Council",Yahoo! Finance: SHOP News
AMZN,0.2651041666666667,positive,2026-04-24,263.99,261.12,-1.0872,Microsoft (MSFT) Must Face a UK lawsuit Over Cloud Computing Licenses,Yahoo! Finance: BABA News
AMZN,0.12645427489177488,positive,2026-04-27,261.12,259.7,-0.5438,Smart Sellers Academy Launches Multi‑Channel Expansion to Power the Next Generation of Digital Brands,Yahoo! Finance: SHOP News
AMZN,0.11153846153846153,positive,2026-04-28,259.7,263.04,1.2861,Cathie Wood Loads Up $74 Million into Amazon Stock,Yahoo! Finance: AMZN News
AMZN,0.08652219873150103,neutral,2026-04-28,259.7,263.04,1.2861,Ramsey Theory Group CEO Dan Herbatschek Warns Wall Street’s AI Boom Faces an ROI Reckoning as Big Tech Earnings Week Begins,Yahoo! Finance: SHOP News
AMZN,-0.26666666666666666,negative,2026-04-28,259.7,263.04,1.2861,"Amazon Beats Q1 Expectations, Reports Strong Cloud Growth. But Stock Slides.",Yahoo! Finance: AMZN News
AMZN,0.10738747048406137,positive,2026-04-28,259.7,263.04,1.2861,Copyright Lawsuit Tests Avatar’s Role In Disney’s Broader Investment Story,Yahoo! Finance: DIS News
AMZN,0.06962366007008865,neutral,2026-04-28,259.7,263.04,1.2861,OpenAI looms over earnings from tech hyperscalers,Earnings
AMZN,0.12971400184514942,positive,2026-04-28,259.7,263.04,1.2861,Amazon.com Announces First Quarter Results,Yahoo! Finance: AMZN News
AMZN,0.08282312925170067,neutral,2026-04-28,259.7,263.04,1.2861,"Amazon's cloud unit reports 28% sales growth, topping estimates",US Top News and Analysis
AMZN,-0.08333333333333333,neutral,2026-04-28,259.7,263.04,1.2861,Amazon Earnings Beat Estimates. A Weak Spot May Still Be Weighing on the Stock.,Yahoo! Finance: MSFT News
